X,Y,StationVal,LocalEasti,LocalNorth,LocalHeigh,Descriptor,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Feature,icon_url
447232.221710742,9089163.28234186,402002,447232.222,9089163.282,217.563,S,,,,,,,,,./0.png
447223.587741503,9089182.42321419,402006,447223.588,9089182.423,207.775,S,,,,,,,,,./0.png
447214.217602146,9089211.14596637,402012,447214.218,9089211.146,204.993,S,,,,,,,,,./0.png
447204.56253563,9089239.80209871,402018,447204.563,9089239.802,213.221,S,,,,,,,,,./0.png
447192.783695887,9089268.00291165,402024,447192.784,9089268.003,215.499,S,,,,,,,,,./0.png
447184.888895248,9089296.59440616,402030,447184.889,9089296.594,196.930,S,,,,,,,,,./0.png
447177.581728086,9089326.20108062,402036,447177.582,9089326.201,193.610,S,,,,,,,,,./0.png
447168.464445865,9089354.59139393,402042,447168.464,9089354.591,196.989,S,,,,,,,,,./0.png
447160.497510803,9089383.54260019,402048,447160.498,9089383.543,192.440,S,,,,,,,,,./0.png
447155.51258294,9089413.53301723,402054,447155.513,9089413.533,189.423,S,,,,,,,,,./0.png
447157.040742229,9089443.96354837,402060,447157.041,9089443.964,191.801,S,,,,,,,,,./0.png
447153.249352313,9089474.07379356,402066,447153.249,9089474.074,191.579,S,,,,,,,,,./0.png
447145.833918472,9089503.07611281,402072,447145.834,9089503.076,192.030,S,,,,,,,,,./0.png
447135.494475231,9089531.74801232,402078,447135.494,9089531.748,207.963,S,,,,,,,,,./0.png
447127.333296447,9089560.87358484,402084,447127.333,9089560.874,205.044,S,,,,,,,,,./0.png
447118.575,9089589.524,402090,447118.575,9089589.524,198.140,S,,,,,,,,,./0.png
447111.856315066,9089608.60165163,402094,447111.856,9089608.602,196.557,S,,,,,,,,,./0.png
447112.220851711,9089640.40693701,402100,447112.221,9089640.407,176.408,S,,,,,,,,,./0.png
447140.864,9089691.332,402110,447140.864,9089691.332,174.659,S,,,,,,,,,./0.png
447146.012622983,9089718.04879092,402114,447146.013,9089718.049,174.118,S,,,,,,,,,./0.png
447111.613076462,9089741.02354334,402120,447111.613,9089741.024,174.066,S,,,,,,,,,./0.png
447103.675478779,9089769.51742087,402126,447103.675,9089769.517,172.889,S,,,,,,,,,./0.png
447099.596265451,9089799.02501023,402132,447099.596,9089799.025,171.245,S,,,,,,,,,./0.png
447091.799000353,9089828.97628634,402138,447091.799,9089828.976,173.726,S,,,,,,,,,./0.png
447085.755163502,9089858.17885618,402144,447085.755,9089858.179,176.123,S,,,,,,,,,./0.png
447078.080053385,9089887.11774331,402150,447078.080,9089887.118,178.368,S,,,,,,,,,./0.png
447067.784,9089923.458,402158,447067.784,9089923.458,178.008,S,,,,,,,,,./0.png
447062.369910887,9089945.60027217,402162,447062.370,9089945.600,178.450,S,,,,,,,,,./0.png
447053.352383478,9089974.19681234,402168,447053.352,9089974.197,179.483,S,,,,,,,,,./0.png
447047.826697331,9090003.96089146,402174,447047.827,9090003.961,181.585,S,,,,,,,,,./0.png
447041.492222909,9090033.36908006,402180,447041.492,9090033.369,184.503,S,,,,,,,,,./0.png
447032.923959989,9090061.75550443,402186,447032.924,9090061.756,187.001,S,,,,,,,,,./0.png
